country_kr,iso3c
안도라,AND
아랍에미리트 연합,ARE
아프가니스탄,AFG
앤티가바부다,ATG
앵귈라,AIA
알바니아,ALB
아르메니아,ARM
네덜란드 열도,ANT
앙골라,AGO
남극 대륙,ATA
아르헨티나,ARG
아메리칸 사모아,ASM
오스트리아,AUT
호주,AUS
아루바,ABW
올란드 제도,ALA
아제르바이잔,AZE
보스니아-헤르체고비나,BIH
바베이도스,BRB
방글라데시,BGD
벨기에,BEL
부르키나파소,BFA
불가리아,BGR
바레인,BHR
부룬디,BDI
베냉,BEN
세인트 바르탤르미,BLM
버뮤다,BMU
브루나이,BRN
볼리비아,BOL
영령 안탁,BES
브라질,BRA
바하마,BHS
부탄,BTN
부베 섬,BVT
보츠와나,BWA
벨라루스,BLR
벨리즈,BLZ
캐나다,CAN
코코스 군도,CCK
콩고 민주공화국,COD
중앙아프리카,CAF
콩고,COG
스위스,CHE
코트디부아르,CIV
쿡 아일랜드,COK
칠레,CHL
카메룬,CMR
중국,CHN
콜롬비아,COL
코스타리카,CRI
체코슬로바키아,CSK
캔톤 아일랜드,CTE
쿠바,CUB
카보 베르데,CPV
큐라소,CUW
크리스마스 아일랜드,CXR
키프로스,CYP
체코,CZE
독일,DEU
지부티,DJI
덴마크,DNK
도미니카,DMA
도미니카 공화국,DOM
알제리,DZA
에콰도르,ECU
에스토니아,EST
이집트,EGY
서사하라,ESH
에리트레아,ERI
스페인,ESP
에티오피아,ETH
핀란드,FIN
피지,FJI
포클랜드 군도,FLK
미크로네시아,FSM
파로에 군도,FRO
프랑스,FRA
프랑스 메트로폴리탄,FXX
가봉,GAB
영국,GBR
그레나다,GRD
조지아,GEO
불령 가이아나,GUF
건지,GGY
가나,GHA
지브롤터,GIB
그린랜드,GRL
감비아,GMB
기니,GIN
과들루프,GLP
적도 기니,GNQ
그리스,GRC
남조지아 & 남샌드위치 군도,SGS
과테말라,GTM
괌,GUM
기네비소,GNB
가이아나,GUY
홍콩,HKG
허드 앤 맥도날드 군도,HMD
온두라스,HND
크로아티아,HRV
아이티,HTI
헝가리,HUN
인도네시아,IDN
아일랜드,IRL
이스라엘,ISR
맨섬,IMN
인도(인디아),IND
영령 인도양,IOT
이라크,IRQ
이란,IRN
아이슬란드,ISL
이탈리아,ITA
저지,JEY
자메이카,JAM
요르단,JOR
일본,JPN
존스톤아일랜드,JTN
케냐,KEN
키르기스스탄,KGZ
캄보디아,KHM
키리바시,KIR
코모로,COM
세인트 키츠 네비스,KNA
북한,PRK
한국,KOR
쿠웨이트,KWT
영령 캐이맨 군도,CYM
카자흐스탄,KAZ
라오스,LAO
레바논,LBN
세인트 루시아,LCA
리히텐슈타인,LIE
스리랑카,LKA
라이베리아,LBR
레소토,LSO
리투아니아,LTU
룩셈부르크,LUX
라트비아,LVA
리비아,LBY
모로코,MAR
모나코,MCO
몰도바,MDA
몬테네그로,MNE
세인트 마틴,MAF
마다가스카르,MDG
마셜제도,MHL
마케도니아,MKD
말리,MLI
미얀마,MMR
몽골,MNG
마카오,MAC
북마리아나 군도,MNP
마르티니크,MTQ
모리타니,MRT
몬트세랫,MSR
몰타,MLT
모리셔스,MUS
몰디브,MDV
말라위,MWI
멕시코,MEX
말레이시아,MYS
모잠비크,MOZ
나미비아,NAM
뉴 칼레도니아,NCL
니제르,NER
노폴크 아일랜드,NFK
나이지리아,NGA
니카라과,NIC
네덜란드,NLD
노르웨이,NOR
네팔,NPL
나우루,NRU
니우에,NIU
뉴질랜드,NZL
오만,OMN
파나마,PAN
페루,PER
불령 폴리네시아,PYF
파푸아 뉴기니,PNG
필리핀,PHL
파키스탄,PAK
폴란드,POL
세인트 피레 미켈론,SPM
핏케언섬,PCN
팔레스타인 해방기구,PSE
푸에르토리코,PRI
포르투갈,PRT
팔라우,PLW
파라과이,PRY
카타르,QAT
"불령 리유니온,코모도 제도",REU
루마니아,ROU
세르비아공화국,SRB
러시아,RUS
르완다,RWA
사우디아라비아,SAU
솔로몬 군도,SLB
세이셸,SYC
수단,SDN
스웨덴,SWE
싱가포르,SGP
세인트 헬레나,SHN
슬로베니아,SVN
스발바르 제도,SJM
슬로바키아,SVK
시에라리온,SLE
산마리노,SMR
세네갈,SEN
소말리아,SOM
수리남,SUR
사우스수단,SSD
상투메 프린스페,STP
소련,SUN
엘살바도르,SLV
세인트마틴(생마르탱),MAF
시리아,SYR
스와질랜드,SWZ
투르크 & 카이코스 군도,TCA
차드,TCD
불령 남부지역,ATF
토고,TGO
태국,THA
타지키스탄,TJK
토켈라우,TKL
동티모르,TLS
투르크메니스탄,TKM
튀니지,TUN
통가,TON
티모르,TLS
튀르키예,TUR
트리니다드 토바고,TTO
투발루,TUV
대만,TWN
탄자니아,TZA
우크라이나,UKR
우간다,UGA
마이너 아우틀링 합중국 군도,UMI
미국,USA
우루과이,URY
우즈베키스탄,UZB
교황청,VAT
세인트 빈센트 그레나딘,VCT
베네수엘라,VEN
영령 버진아일랜드,VGB
미령 버진군도,VIR
베트남,VNM
바누아투,VUT
왈라스 & 퓨투나,WLF
웨이크 아일랜드,WAK
사모아,WSM
남예멘,YMD
예멘,YEM
마요트,MYT
유고슬라비아,YUG
남아프리카 공화국,ZAF
잠비아,ZMB
자이르,COD
짐바브웨,ZWE
과델로프,GLP
그루지아,GEO
나우르,NRU
남수단,SSD
남아프리카공화국,ZAF
러시아 연방,RUS
루안다,RWA
룩셈부르그,LUX
마다카스카르,MDG
마샬군도,MHL
마세도니아,MKD
마이크로네시아,FSM
마티니크,MTQ
말레이지아,MYS
메요트,MYT
몬트세라트,MSR
베네주엘라,VEN
베닝,BEN
베라루스,BLR
벨리제,BLZ
보빗군도,BVT
부르키나 파소,BFA
사이프러스,CYP
상토메 프린스페,STP
세르비아,SRB
세이쉘,SYC
스발비드 군도,SJM
시에라 리온,SLE
아프카니스탄,AFG
안타티카,ATA
안티가 바부다,ATG
알랜드 군도,ALA
앙귈라,AIA
에리트리아,ERI
에쿠아도르,ECU
영령 버진군도,VGB
예맨,YEM
왈라스 & 퓨투나 군도,WLF
우즈베크,UZB
이디오피아,ETH
인도,IND
자마이카,JAM
저어지,JEY
중앙아프리카공화국,CAF
지브랄타,GIB
챠드,TCD
체코공화국,CZE
카자흐,KAZ
코모로스,COM
코스 군도,CCK
코트디봐르,CIV
콩고민주공화국,COD
키르기스,KGZ
키리바티,KIR
타지크,TJK
터키,TUR
투르크멘,TKM
포루투갈,PRT
피트카이른,PCN
건지섬,GGY
그린란드,GRL
기니비사우,GNB
남극,ATA
네덜란드령 안틸레스,ANT
노퍽섬,NFK
누벨칼레도니,NCL
대한민국,KOR
도미니카 연방,DMA
레위니옹,REU
마셜 제도,MHL
북마케도니아,MKD
미국령 군소 제도,UMI
미국령 버진아일랜드,VIR
미크로네시아 연방,FSM
바티칸 시국,VAT
보네르섬,BES
보스니아 헤르체고비나,BIH
부베섬,BVT
북마리아나 제도,MNP
사우스조지아 사우스샌드위치 제도,SGS
상투메 프린시페,STP
생마르탱,MAF
생바르텔레미,BLM
생피에르 미클롱,SPM
세인트루시아,LCA
세인트빈센트 그레나딘,VCT
세인트키츠 네비스,KNA
세인트헬레나,SHN
솔로몬 제도,SLB
스발바르 얀마옌,SJM
신트마르턴,SXM
아랍에미리트,ARE
아메리칸사모아,ASM
앤티가 바부다,ATG
에스와티니,SWZ
영국령 버진아일랜드,VGB
영국령 인도양 지역,IOT
오스트레일리아,AUS
왈리스 푸투나,WLF
저지섬,JEY
조선민주주의인민공화국,PRK
중앙아프리카 공화국,CAF
카보베르데,CPV
케이맨 제도,CYM
코코스 제도,CCK
콩고 공화국,COG
콩고 민주 공화국,COD
쿡 제도,COK
퀴라소,CUW
크리스마스섬,CXR
터크스 케이커스 제도,TCA
파푸아뉴기니,PNG
팔레스타인,PSE
페로 제도,FRO
포클랜드 제도,FLK
프랑스령 기아나,GUF
프랑스령 남방 및 남극 지역,ATF
프랑스령 폴리네시아,PYF
핏케언 제도,PCN
허드 맥도널드 제도,HMD
모리타니아,MRT
마이크로네시아연방,FSM
보스니아헤르체고비나,BIH
솔로몬제도,SLB
적도기니,GNQ
콩고공화국,COG
콩고민주공화국(DR콩고),COD
뉴 해브리데스,VUT
도미니카공화국,DOM
도미니카연방,DMA
상투메프린시페,STP
쿡제도,COK
키르기즈,KGZ
튀르키예공화국,TUR
트리니다드토바고,TTO
코소보,XKX
세이셸공화국,SYC
세인트빈센트그레나딘,VCT
세인트키츠네비스,KNA
엔티가바부다,ATG
키르기즈공화국,KGZ
키리바시공화국,KIR
남아프리카,ZAF
뉴칼레도니아,NCL
북마리아나제도,MNP
영국령 인도양 식민지,IOT
중앙 아프리카 공화국,CAF
프랑스 남부 지방,ATF
네팔연방,NPL
미합중국,USA
베네수엘라볼리바르,VEN
세르비아와 몬테네그로,SCG
남수단공화국,SSD
러시아연방,RUS
벨로루시,BLR
슬로바크,SVK
아랍에미리트연합,ARE
영국외지민,GBR
예멘공화국,YEM
타이완,TWN
티모르민주공화국,TLS
한국계중국인,CHN
세인트크리스토퍼네비스,KNA
러시아(연방),RUS
솔로몬군도,SLB
영국속령지시민,GBR
영국해외영토시민,GBR
타이,THA
캔톤아일랜드,CTE
존스턴섬,JTN
미드웨이 군도,MID
뉴헤브리디스,NHB
중립지대,NTZ
퍼시픽제도（미령）,PCI
파나마운하지역,PCZ
